genename	bnum	geneid	isNonUnique
hybO	b2997	gene3059	FALSE
ybdG	b0577	gene589	FALSE
ybbY	b0513	gene518	FALSE
yphF	b2548	gene2611	FALSE
ybbW	b0511	gene516	FALSE
yjfZ	b4204	gene4294	FALSE
fixC	b0043	gene42	FALSE
fixB	b0042	gene41	FALSE
fixA	b0041	gene40	FALSE
ybbP	b0496	gene502	FALSE
glyS	b3559	gene3629	FALSE
fxsA	b4140	gene4227	FALSE
glyQ	b3560	gene3630	FALSE
glyV	b4163	gene4252	FALSE
glyW	b1911	gene1959	FALSE
glyT	b3978	gene4057	FALSE
glyU	b2864	gene2926	FALSE
yphC	b2545	gene2608	FALSE
glyX	b4164	gene4253	FALSE
glyY	b4165	gene4254	FALSE
aqpZ	b0875	gene889	FALSE
yphB	b2544	gene2607	FALSE
rhaM	b3901	gene3982	FALSE
glyA	b2551	gene2614	FALSE
accC	b3256	gene3317	FALSE
bamC	b2477	gene2538	FALSE
trkG	b1363	gene1396	FALSE
trkA	b3290	gene3350	FALSE
patA	b3073	gene3134	FALSE
tamB	b4221	gene4311	FALSE
trkH	b3849	gene3928	FALSE
ynfO	b4533	gene1584	FALSE
ynfN	b1551	gene1587	FALSE
ynfM	b1596	gene1633	FALSE
insI1	b0256	gene260	TRUE
ynfK	b1593	gene1630	FALSE
exbD	b3005	gene3065	FALSE
ynfH	b1590	gene1627	FALSE
ynfG	b1589	gene1626	FALSE
ynfF	b1588	gene1625	FALSE
ynfE	b1587	gene1624	FALSE
ynfD	b1586	gene1623	FALSE
ynfC	b1585	gene1622	FALSE
ynfB	b1583	gene1620	FALSE
ynfA	b1582	gene1619	FALSE
argG	b3172	gene3232	FALSE
chbG	b1733	gene1775	FALSE
treA	b1197	gene1214	FALSE
puuC	b1300	gene1327	FALSE
treC	b4239	gene4327	FALSE
puuA	b1297	gene1324	FALSE
msrB	b1778	gene1820	FALSE
msrC	b1832	gene1877	FALSE
puuD	b1298	gene1325	FALSE
puuE	b1302	gene1329	FALSE
gph	b3385	gene3446	FALSE
iroK	b4706	gene2600	FALSE
def	b3287	gene3347	FALSE
puuR	b1299	gene1326	FALSE
chbC	b1737	gene1779	FALSE
puuP	b1296	gene1323	FALSE
treR	b4241	gene4329	FALSE
mlrA	b2127	gene2180	FALSE
chbB	b1738	gene1780	FALSE
ydfE	b1577	gene1614	FALSE
ydfD	b1576	gene1613	FALSE
ydfG	b1539	gene1574	FALSE
ydfA	b1571	gene1608	FALSE
chbA	b1736	gene1778	FALSE
ydfC	b1573	gene1610	FALSE
ydfB	b1572	gene1609	FALSE
ydfO	b1549	gene1585	FALSE
ydfI	b1542	gene1577	FALSE
ydfK	b1544	gene1579	FALSE
ydfJ	b4600	gene1578	FALSE
ydfU	b1560	gene1597	FALSE
ydfV	b1565	gene1602	FALSE
ydfR	b1555	gene1592	FALSE
yafF	b4503	gene218	FALSE
aroF	b2601	gene2667	FALSE
ydfZ	b1541	gene1576	FALSE
agrA	b4712	gene3562	FALSE
fimA	b4314	gene4406	FALSE
fimH	b4320	gene4412	FALSE
pdhR	b0113	gene110	FALSE
ydgI	b1605	gene1643	FALSE
