genename	bnum	geneid	isNonUnique
pheL	b2598	gene2664	FALSE
pheS	b1714	gene1756	FALSE
efeO	b1018	gene1034	FALSE
ileV	b0202	gene200	FALSE
pheP	b0576	gene588	FALSE
pheV	b2967	gene3029	FALSE
pheU	b4134	gene4221	FALSE
ileS	b0026	gene25	FALSE
rhaB	b3904	gene3985	FALSE
efeB	b1019	gene1035	FALSE
ileY	b2652	gene2716	FALSE
htpG	b0473	gene478	FALSE
ppc	b3956	gene4035	FALSE
yiiG	b3896	gene3977	FALSE
ppk	b2501	gene2562	FALSE
rzpQ	b1553	gene1589	FALSE
rzpR	b1362	gene1394	FALSE
yrdB	b3280	gene3341	FALSE
yrdE	b4646	gene3315	FALSE
yrdD	b3283	gene3344	FALSE
yrdF	b4697	gene3314	FALSE
dkgB	b0207	gene205	FALSE
dkgA	b3012	gene3071	FALSE
ispD	b2747	gene2806	FALSE
relB	b1564	gene1601	FALSE
relA	b2784	gene2844	FALSE
ppx	b2502	gene2563	FALSE
rzpD	b0556	gene564	FALSE
relE	b1563	gene1600	FALSE
phnP	b4092	gene4177	FALSE
yejM	b2188	gene2243	FALSE
loiP	b2936	gene2999	FALSE
sfmZ	b0535	gene540	FALSE
sfmD	b0532	gene537	FALSE
sfmF	b0534	gene539	FALSE
dauA	b1206	gene1223	FALSE
sfmA	b0530	gene535	FALSE
sfmC	b0531	gene536	FALSE
yiaJ	b3574	gene3645	FALSE
sfmH	b0533	gene538	FALSE
gntR	b3438	gene3497	FALSE
yigG	b3818	gene3898	FALSE
yigF	b3817	gene3897	FALSE
ubiE	b3833	gene3913	FALSE
ybfQ	b4514	gene717	FALSE
yejG	b2181	gene2236	FALSE
ybfP	b0689	gene700	FALSE
gdhA	b1761	gene1803	FALSE
rrfB	b3971	gene4051	FALSE
thrT	b3979	gene4058	FALSE
pphA	b1838	gene1883	FALSE
pphB	b2734	gene2793	FALSE
yigB	b3812	gene3893	FALSE
ygeW	b2870	gene2932	FALSE
mtr	b3161	gene3219	FALSE
yhjC	b3521	gene3586	FALSE
surA	b0053	gene52	FALSE
proM	b3799	gene3879	FALSE
phnE	b4104	gene4188	FALSE
gstB	b0838	gene851	FALSE
rrfC	b3759	gene3841	FALSE
gstA	b1635	gene1674	FALSE
truA	b2318	gene2374	FALSE
truC	b2791	gene2851	FALSE
truB	b3166	gene3226	FALSE
fpr	b3924	gene4004	FALSE
truD	b2745	gene2804	FALSE
msbA	b0914	gene928	FALSE
lplT	b2835	gene2897	FALSE
yigL	b3826	gene3906	FALSE
dacA	b0632	gene646	FALSE
dacB	b3182	gene3242	FALSE
dacC	b0839	gene852	FALSE
dacD	b2010	gene2059	FALSE
tesA	b0494	gene500	FALSE
tesB	b0452	gene457	FALSE
ecnB	b4411	gene4236	FALSE
mrr	b4351	gene4442	FALSE
cyoA	b0432	gene437	FALSE
cyoC	b0430	gene435	FALSE
cyoB	b0431	gene436	FALSE
cyoE	b0428	gene433	FALSE
cyoD	b0429	gene434	FALSE
ybfC	b0704	gene716	FALSE
ecnA	b4410	gene4235	FALSE
malX	b1621	gene1659	FALSE
betB	b0312	gene323	FALSE
phnJ	b4098	gene4183	FALSE
shiA	b1981	gene2025	FALSE
betA	b0311	gene322	FALSE
phnK	b4097	gene4182	FALSE
livF	b3454	gene3514	FALSE
rrfA	b3855	gene3934	FALSE
thrS	b1719	gene1761	FALSE
phnH	b4100	gene4185	FALSE
ybfG	b0691	gene701	FALSE
tig	b0436	gene441	FALSE
pstB	b3725	gene3807	FALSE
sdaB	b2797	gene2858	FALSE
ybfE	b0685	gene696	FALSE
sdaA	b1814	gene1858	FALSE
nmpC	b0553	gene560	FALSE
idnT	b4265	gene4352	FALSE
ytfI	b4215	gene4305	FALSE
ybfD	b0706	gene719	FALSE
dusA	b4049	gene4131	FALSE
idnR	b4264	gene4351	FALSE
sbmA	b0377	gene383	FALSE
aslB	b3800	gene3880	FALSE
sbmC	b2009	gene2058	FALSE
idnK	b4268	gene4355	FALSE
ykgH	b0310	gene321	FALSE
mltC	b2963	gene3025	FALSE
mltB	b2701	gene2760	FALSE
mltA	b2813	gene2875	FALSE
topB	b1763	gene1805	FALSE
ybfI	b4636	gene702	FALSE
mltD	b0211	gene209	FALSE
tfaR	b1373	gene1403	FALSE
yigZ	b3848	gene3927	FALSE
xthA	b1749	gene1791	FALSE
fsr	b0479	gene484	FALSE
yshB	b4686	gene3948	FALSE
malK	b4035	gene4117	FALSE
gntT	b3415	gene3476	FALSE
aspA	b4139	gene4226	FALSE
rhaS	b3905	gene3986	FALSE
aspC	b0928	gene942	FALSE
rob	b4396	gene4489	FALSE
dicB	b1575	gene1612	FALSE
rof	b0189	gene186	FALSE
aspT	b3760	gene3842	FALSE
aspU	b0206	gene204	FALSE
aspV	b0216	gene214	FALSE
rhaA	b3903	gene3984	FALSE
lptC	b3199	gene3259	FALSE
sra	b1480	gene1514	FALSE
manZ	b1819	gene1863	FALSE
tusE	b0969	gene983	FALSE
nupC	b2393	gene2451	FALSE
yhfW	b3380	gene3441	FALSE
tusA	b3470	gene3530	FALSE
tusB	b3343	gene3404	FALSE
tusC	b3344	gene3405	FALSE
omrB	b4445	gene2900	FALSE
lyxK	b3580	gene3651	FALSE
osmC	b1482	gene1516	FALSE
ves	b1742	gene1784	FALSE
yhjK	b3529	gene3594	FALSE
yhjJ	b3527	gene3592	FALSE
dtpD	b0709	gene722	FALSE
yhjD	b3522	gene3587	FALSE
yhjG	b3524	gene3589	FALSE
dsdC	b2364	gene2422	FALSE
dtpA	b1634	gene1673	FALSE
dsdA	b2366	gene2424	FALSE
yhjB	b3520	gene3585	FALSE
ydeT	b1505	gene1539	FALSE
yjjM	b4357	gene4448	FALSE
omrA	b4444	gene2899	FALSE
yhjY	b3548	gene3615	FALSE
yhjX	b3547	gene3614	FALSE
pldB	b3825	gene3905	FALSE
dsdX	b2365	gene2423	FALSE
yjjG	b4374	gene4466	FALSE
frlA	b3370	gene3432	FALSE
yhjV	b3539	gene3606	FALSE
yjjB	b4363	gene4454	FALSE
yjjA	b4360	gene4451	FALSE
yhjR	b3535	gene3600	FALSE
yfbK	b2270	gene2326	FALSE
eutJ	b2454	gene2513	FALSE
yfbO	b2274	gene2330	FALSE
yfbN	b2273	gene2329	FALSE
yfbM	b2272	gene2328	FALSE
yfbL	b2271	gene2327	FALSE
eutH	b2452	gene2511	FALSE
sodA	b3908	gene3989	FALSE
ydeQ	b1502	gene1536	FALSE
apbE	b2214	gene2268	FALSE
lrp	b0889	gene903	FALSE
pstA	b3726	gene3808	FALSE
ydeR	b1503	gene1537	FALSE
yfbS	b2292	gene2348	FALSE
yahB	b0316	gene327	FALSE
yfbP	b2275	gene2331	FALSE
yfbV	b2295	gene2351	FALSE
yfbU	b2294	gene2350	FALSE
yahC	b0317	gene328	FALSE
osmE	b1739	gene1781	FALSE
glmU	b3730	gene3812	FALSE
cyaR	b4438	gene2137	FALSE
ydeM	b1497	gene1531	FALSE
ryhB	b4451	gene3500	FALSE
yiiS	b3922	gene4002	FALSE
eutM	b2457	gene2516	FALSE
glmZ	b4456	gene3882	FALSE
ydeN	b1498	gene1532	FALSE
cyaY	b3807	gene3888	FALSE
glmY	b4441	gene2620	FALSE
yahN	b0328	gene338	FALSE
dmlR	b1799	gene1843	FALSE
evgS	b2370	gene2428	FALSE
cyaA	b3806	gene3887	FALSE
ycdY	b1035	gene1049	FALSE
glmM	b3176	gene3236	FALSE
yahL	b0326	gene336	FALSE
hscB	b2527	gene2589	FALSE
hscC	b0650	gene664	FALSE
eutA	b2451	gene2510	FALSE
acpP	b1094	gene1108	FALSE
acpS	b2563	gene2629	FALSE
melR	b4118	gene4203	FALSE
seqA	b0687	gene698	FALSE
ldcA	b1192	gene1209	FALSE
ldcC	b0186	gene183	FALSE
eutG	b2453	gene2512	FALSE
envC	b3613	gene3691	FALSE
yqeF	b2844	gene2908	FALSE
yfeO	b2389	gene2448	FALSE
ydeE	b1534	gene1567	FALSE
melB	b4120	gene4205	FALSE
eutE	b2455	gene2514	FALSE
acpH	b0404	gene409	FALSE
higB	b3083	gene3144	FALSE
ugpE	b3451	gene3511	FALSE
yehD	b2111	gene2165	FALSE
yehE	b2112	gene2166	FALSE
yqeL	b4683	gene2913	FALSE
yodD	b1953	gene1999	FALSE
osmF	b2131	gene2185	FALSE
yehH	b4499	gene2169	FALSE
yodB	b1974	gene2019	FALSE
yodC	b1957	gene2003	FALSE
cysM	b2421	gene2480	FALSE
nlpC	b1708	gene1750	FALSE
cysN	b2751	gene2810	FALSE
cysI	b2763	gene2823	FALSE
cysH	b2762	gene2822	FALSE
cysK	b2414	gene2473	FALSE
nlpE	b0192	gene190	FALSE
cysE	b3607	gene3685	FALSE
cysD	b2752	gene2811	FALSE
cysG	b3368	gene3430	FALSE
nlpI	b3163	gene3222	FALSE
cysA	b2422	gene2481	FALSE
cysC	b2750	gene2809	FALSE
cysB	b1275	gene1298	FALSE
eutR	b2437	gene2496	FALSE
yqeK	b2849	gene2914	FALSE
uxuR	b4324	gene4416	FALSE
cysZ	b2413	gene2472	FALSE
cysU	b2424	gene2483	FALSE
cysT	b1910	gene1958	FALSE
cysW	b2423	gene2482	FALSE
yehM	b2120	gene2173	FALSE
cysQ	b4214	gene4304	FALSE
cysP	b2425	gene2484	FALSE
cysS	b0526	gene531	FALSE
eutQ	b2460	gene2519	FALSE
frdB	b4153	gene4242	FALSE
rydC	b4597	gene1451	FALSE
ptsN	b3204	gene3264	FALSE
era	b2566	gene2632	FALSE
rydB	b4430	gene1725	FALSE
eutT	b2459	gene2518	FALSE
pqqL	b1494	gene1528	FALSE
thrL	b0001	gene0	FALSE
yfiE	b2577	gene2643	FALSE
baeR	b2079	gene2134	FALSE
baeS	b2078	gene2133	FALSE
yfiB	b2605	gene2671	FALSE
yicJ	b3657	gene3735	FALSE
thrB	b0003	gene2	FALSE
thrC	b0004	gene3	FALSE
thrA	b0002	gene1	FALSE
livG	b3455	gene3515	FALSE
perR	b0254	gene258	FALSE
thrV	b3273	gene3334	FALSE
thrW	b0244	gene244	FALSE
sokE	b4700	gene594	FALSE
ppiD	b0441	gene446	FALSE
sokC	b4413	gene17	FALSE
ppiB	b0525	gene530	FALSE
ppiA	b3363	gene3425	FALSE
gatY	b2096	gene2150	FALSE
ybgP	b0717	gene730	FALSE
ybgQ	b0718	gene731	FALSE
ybgS	b0753	gene766	FALSE
yifB	b3765	gene3846	FALSE
mdfA	b0842	gene855	FALSE
mscS	b2924	gene2988	FALSE
yifK	b3795	gene3875	FALSE
ykfF	b0249	gene251	FALSE
ykfG	b0247	gene249	FALSE
mscK	b0465	gene470	FALSE
yaeF	b0193	gene191	FALSE
ykfB	b0250	gene252	FALSE
ykfC	b0258	gene262	FALSE
ybgF	b0742	gene755	FALSE
ykfA	b0253	gene257	FALSE
ykfN	b4626	gene245	FALSE
ybgI	b0710	gene723	FALSE
ykfL	b4627	gene254	FALSE
ykfM	b4586	gene216	FALSE
ykfJ	b0235	gene235	FALSE
ykfK	b4628	gene255	FALSE
ykfH	b4504	gene248	FALSE
ykfI	b0245	gene246	FALSE
ygfB	b2909	gene2971	FALSE
htpX	b1829	gene1874	FALSE
mdtQ	b2139	gene2192	FALSE
gpmM	b3612	gene3690	FALSE
ygfF	b2902	gene2964	FALSE
yicH	b3655	gene3733	FALSE
yihF	b3861	gene3940	FALSE
ygfK	b2878	gene2940	FALSE
yihD	b3858	gene3937	FALSE
ygfI	b2921	gene2985	FALSE
ygfM	b2880	gene2942	FALSE
mdtC	b2076	gene2131	FALSE
mdtB	b2075	gene2130	FALSE
mdtA	b2074	gene2129	FALSE
ygfQ	b4464	gene2946	FALSE
mdtG	b1053	gene1066	FALSE
gatR	b4498	gene2142	FALSE
ygfT	b2887	gene2948	FALSE
mdtD	b2077	gene2132	FALSE
mdtK	b1663	gene1703	FALSE
focA	b0904	gene918	FALSE
mdtI	b1599	gene1637	FALSE
mdtH	b1065	gene1078	FALSE
yihR	b3879	gene3960	FALSE
yihS	b3880	gene3961	FALSE
yihP	b3877	gene3958	FALSE
mdtL	b3710	gene3792	FALSE
hycD	b2722	gene2781	FALSE
hycE	b2721	gene2780	FALSE
hycF	b2720	gene2779	FALSE
hycG	b2719	gene2778	FALSE
frvB	b3899	gene3980	FALSE
hycA	b2725	gene2784	FALSE
hycB	b2724	gene2783	FALSE
hycC	b2723	gene2782	FALSE
wecE	b3791	gene3870	FALSE
yfiR	b2603	gene2669	FALSE
wecG	b3794	gene3874	FALSE
chbR	b1735	gene1777	FALSE
flu	b2000	gene2047	FALSE
hycI	b2717	gene2776	FALSE
wecC	b3787	gene3866	FALSE
nagK	b1119	gene1133	FALSE
flk	b2321	gene2377	FALSE
frvR	b3897	gene3978	FALSE
can	b0126	gene123	FALSE
cdsA	b0175	gene172	FALSE
flc	b0624	gene639	FALSE
frvX	b3898	gene3979	FALSE
ugpB	b3453	gene3513	FALSE
purR	b1658	gene1698	FALSE
pinH	b2648	gene2714	FALSE
rayT	b0228	gene228	FALSE
purU	b1232	gene1255	FALSE
purT	b1849	gene1896	FALSE
mpaA	b1326	gene1353	FALSE
dxs	b0420	gene425	FALSE
dxr	b0173	gene170	FALSE
tilS	b0188	gene185	FALSE
trxB	b0888	gene902	FALSE
purB	b1131	gene1145	FALSE
asmA	b2064	gene2115	FALSE
leuE	b1798	gene1842	FALSE
purF	b2312	gene2368	FALSE
purE	b0523	gene528	FALSE
purD	b4005	gene4086	FALSE
purK	b0522	gene527	FALSE
pinR	b1374	gene1404	FALSE
ylaB	b0457	gene462	FALSE
ylaC	b0458	gene463	FALSE
purN	b2500	gene2561	FALSE
purM	b2499	gene2560	FALSE
purL	b2557	gene2621	FALSE
ydcN	b1434	gene1469	FALSE
ydcO	b1433	gene1468	FALSE
chiX	b4585	gene487	FALSE
ydcJ	b1423	gene1458	FALSE
ydcK	b1428	gene1462	FALSE
ydcH	b1426	gene1460	FALSE
ydcI	b1422	gene1457	FALSE
ydcF	b1414	gene1447	FALSE
fucO	b2799	gene2860	FALSE
chiP	b0681	gene691	FALSE
chiQ	b0682	gene692	FALSE
ydcC	b1460	gene1495	FALSE
yibU	b4652	gene3673	FALSE
ydcA	b1419	gene1452	FALSE
fucU	b2804	gene2865	FALSE
ydcZ	b1447	gene1483	FALSE
ssuE	b0937	gene951	FALSE
ydcX	b1445	gene1481	FALSE
ydcY	b1446	gene1482	FALSE
ydcV	b1443	gene1478	FALSE
feoC	b3410	gene3471	FALSE
ydcT	b1441	gene1476	FALSE
ydcU	b1442	gene1477	FALSE
ydcR	b1439	gene1474	FALSE
ydcS	b1440	gene1475	FALSE
ydcP	b1435	gene1470	FALSE
rrlD	b3275	gene3336	FALSE
map	b0168	gene164	FALSE
clcB	b1592	gene1629	FALSE
rrlG	b2589	gene2655	FALSE
cdaR	b0162	gene159	FALSE
rrlA	b3854	gene3933	FALSE
rrlB	b3970	gene4050	FALSE
ydfX	b1568	gene1605	FALSE
cpdA	b3032	gene3090	FALSE
lafU	b0230	gene230	FALSE
pheT	b1713	gene1755	FALSE
rrlH	b0204	gene202	FALSE
crfC	b4109	gene4193	FALSE
maa	b0459	gene464	FALSE
talA	b2464	gene2523	FALSE
talB	b0008	gene7	FALSE
mak	b0394	gene400	FALSE
leuV	b4368	gene4460	FALSE
groL	b4143	gene4230	FALSE
hcaE	b2538	gene2601	FALSE
ileX	b3069	gene3130	FALSE
spoT	b3650	gene3728	FALSE
leuT	b3798	gene3878	FALSE
sucA	b0726	gene738	FALSE
sucC	b0728	gene740	FALSE
sucB	b0727	gene739	FALSE
sucD	b0729	gene741	FALSE
groS	b4142	gene4229	FALSE
frwB	b3950	gene4029	FALSE
torD	b0998	gene1015	FALSE
yfaT	b2229	gene2283	FALSE
torA	b0997	gene1014	FALSE
yncE	b1452	gene1488	FALSE
torC	b0996	gene1013	FALSE
yncG	b1454	gene1490	FALSE
yncH	b1455	gene1491	FALSE
yncI	b1459	gene1494	FALSE
yncJ	b1436	gene1471	FALSE
leuQ	b4370	gene4462	FALSE
yncL	b4598	gene1480	FALSE
pncB	b0931	gene945	FALSE
pncA	b1768	gene1810	FALSE
yfaY	b2249	gene2304	FALSE
torT	b0994	gene1011	FALSE
insF1	b0299	gene311	TRUE
yfaE	b2236	gene2290	FALSE
torS	b0993	gene1010	FALSE
torR	b0995	gene1012	FALSE
exbB	b3006	gene3066	FALSE
yfaL	b2233	gene2287	FALSE
ygiL	b3043	gene3100	FALSE
torY	b1873	gene1921	FALSE
uvrB	b0779	gene792	FALSE
yfaH	b2238	gene2292	FALSE
torZ	b1872	gene1920	FALSE
ycaO	b0905	gene919	FALSE
ycaN	b0900	gene914	FALSE
ycaM	b0899	gene913	FALSE
ycaL	b0909	gene923	FALSE
ycaK	b0901	gene915	FALSE
yjcF	b4066	gene4150	FALSE
ycaI	b0913	gene927	FALSE
cutC	b1874	gene1922	FALSE
ibsD	b4664	gene3110	FALSE
leuZ	b1909	gene1957	FALSE
ulaF	b4198	gene4288	FALSE
ycaD	b0898	gene912	FALSE
ycaC	b0897	gene911	FALSE
ibsA	b4667	gene2126	FALSE
ibsB	b4668	gene2128	FALSE
ibsC	b4665	gene2976	FALSE
cybB	b1418	gene1450	FALSE
yrdA	b3279	gene3340	FALSE
tktB	b2465	gene2524	FALSE
tktA	b2935	gene2998	FALSE
rtcB	b3421	gene3481	FALSE
ygiW	b3024	gene3082	FALSE
ssb	b4059	gene4142	FALSE
queD	b2765	gene2825	FALSE
ycaR	b0917	gene931	FALSE
ycaQ	b0916	gene930	FALSE
ycaP	b0906	gene920	FALSE
tamA	b4220	gene4310	FALSE
uxaC	b3092	gene3153	FALSE
sgcA	b4302	gene4389	FALSE
mdtP	b4080	gene4164	FALSE
qmcA	b0489	gene495	FALSE
kefG	b3351	gene3413	FALSE
yqgF	b2949	gene3011	FALSE
queG	b4166	gene4256	FALSE
yqgE	b2948	gene3010	FALSE
ahr	b4269	gene4356	FALSE
exoX	b1844	gene1891	FALSE
yjcD	b4064	gene4148	FALSE
yqgB	b2939	gene3002	FALSE
lldD	b3605	gene3683	FALSE
djlB	b0646	gene660	FALSE
djlC	b0649	gene663	FALSE
exoD	b0539	gene544	FALSE
djlA	b0055	gene54	FALSE
cobT	b1991	gene2035	FALSE
cobU	b1993	gene2037	FALSE
cobS	b1992	gene2036	FALSE
ymcE	b0991	gene1007	FALSE
secB	b3609	gene3687	FALSE
cobB	b1120	gene1134	FALSE
cobC	b0638	gene652	FALSE
ilvY	b3773	gene3854	FALSE
cytR	b3934	gene4014	FALSE
ygcQ	b2769	gene2829	FALSE
fmt	b3288	gene3348	FALSE
mnaT	b1448	gene1484	FALSE
ilvX	b4669	gene3848	FALSE
hcr	b0872	gene886	FALSE
gapA	b1779	gene1821	FALSE
hcp	b0873	gene887	FALSE
gapC	b4493	gene1449	FALSE
nupG	b2964	gene3026	FALSE
nrdE	b2675	gene2734	FALSE
yeaC	b1777	gene1819	FALSE
ytfR	b4485	gene4317	FALSE
yeaM	b1790	gene1832	FALSE
yeaL	b1789	gene1831	FALSE
yeaO	b1792	gene1834	FALSE
yeaN	b1791	gene1833	FALSE
yeaI	b1785	gene1827	FALSE
yeaH	b1784	gene1826	FALSE
yeaK	b1787	gene1829	FALSE
rhtA	b0813	gene826	FALSE
ytfE	b4209	gene4299	FALSE
nrdR	b0413	gene418	FALSE
yeaV	b1801	gene1845	FALSE
yeaQ	b1795	gene1839	FALSE
yeaP	b1794	gene1836	FALSE
yeaR	b1797	gene1841	FALSE
glvG	b4556	gene3763	FALSE
nupX	b2161	gene2215	FALSE
yeaY	b1806	gene1850	FALSE
yeaX	b1803	gene1847	FALSE
blc	b4149	gene4238	FALSE
ytfJ	b4216	gene4306	FALSE
yfjQ	b2633	gene2698	FALSE
actP	b4067	gene4151	FALSE
orn	b4162	gene4251	FALSE
yigE	b4482	gene3895	FALSE
argX	b3796	gene3876	FALSE
argY	b2693	gene2752	FALSE
argZ	b2692	gene2751	FALSE
yjiY	b4354	gene4445	FALSE
hspQ	b0966	gene980	FALSE
ilvL	b3766	gene3847	FALSE
argP	b2916	gene2980	FALSE
argQ	b2691	gene2750	FALSE
argR	b3237	gene3298	FALSE
argS	b1876	gene1924	FALSE
argT	b2310	gene2366	FALSE
argU	b0536	gene541	FALSE
argV	b2694	gene2753	FALSE
argW	b2348	gene2403	FALSE
ldrB	b4421	gene1235	FALSE
ldrC	b4423	gene1237	FALSE
yjiH	b4330	gene4422	FALSE
ldrA	b4419	gene1233	FALSE
yjiN	b4336	gene4428	FALSE
ldrD	b4453	gene3604	FALSE
argO	b2923	gene2987	FALSE
carB	b0033	gene32	FALSE
ymfL	b1147	gene1160	FALSE
argB	b3959	gene4038	FALSE
carA	b0032	gene31	FALSE
argD	b3359	gene3421	FALSE
ibaG	b3190	gene3250	FALSE
argF	b0273	gene279	FALSE
ymfM	b1148	gene1161	FALSE
citX	b0614	gene629	FALSE
tyrS	b1637	gene1676	FALSE
htrE	b0139	gene136	FALSE
yggI	b2944	gene3006	FALSE
iaaA	b0828	gene841	FALSE
yggD	b2929	gene2993	FALSE
yggF	b2930	gene2994	FALSE
citT	b0612	gene627	FALSE
ysgA	b3830	gene3910	FALSE
yggC	b2928	gene2992	FALSE
atoS	b2219	gene2274	FALSE
ygcU	b4463	gene2832	FALSE
secY	b3300	gene3361	FALSE
yfgG	b2504	gene2565	FALSE
yggX	b2962	gene3024	FALSE
coaD	b3634	gene3712	FALSE
yggU	b2953	gene3015	FALSE
citA	b0619	gene634	FALSE
citB	b0620	gene635	FALSE
citC	b0618	gene633	FALSE
citD	b0617	gene632	FALSE
citE	b0616	gene631	FALSE
citF	b0615	gene630	FALSE
citG	b0613	gene628	FALSE
degP	b0161	gene158	FALSE
hybF	b2991	gene3053	FALSE
hybE	b2992	gene3054	FALSE
hybD	b2993	gene3055	FALSE
hybC	b2994	gene3056	FALSE
hybB	b2995	gene3057	FALSE
hybA	b2996	gene3058	FALSE
yphH	b2550	gene2613	FALSE
yphG	b2549	gene2612	FALSE
accD	b2316	gene2372	FALSE
yphE	b2547	gene2610	FALSE
yphD	b2546	gene2609	FALSE
accA	b0185	gene182	FALSE
pykF	b1676	gene1716	FALSE
yphA	b2543	gene2606	FALSE
accB	b3255	gene3316	FALSE
yjcO	b4078	gene4162	FALSE
zraP	b4002	gene4083	FALSE
hisM	b2307	gene2363	FALSE
nepI	b3662	gene3742	FALSE
iap	b2753	gene2812	FALSE
fre	b3844	gene3923	FALSE
pykA	b1854	gene1901	FALSE
serV	b2695	gene2754	FALSE
serW	b0883	gene897	FALSE
serT	b0971	gene985	FALSE
serU	b1975	gene2020	FALSE
serS	b0893	gene907	FALSE
pnp	b3164	gene3223	FALSE
serX	b1032	gene1046	FALSE
ytfA	b4205	gene4295	FALSE
serB	b4388	gene4481	FALSE
serC	b0907	gene921	FALSE
serA	b2913	gene2977	FALSE
cmoB	b1871	gene1919	FALSE
yheO	b3346	gene3407	FALSE
alaA	b2290	gene2346	FALSE
copA	b0484	gene490	FALSE
alaE	b2670	gene2729	FALSE
flhC	b1891	gene1939	FALSE
aroB	b3389	gene3450	FALSE
eyeA	b4690	gene261	FALSE
yqhG	b3013	gene3072	FALSE
yqhD	b3011	gene3070	FALSE
aroC	b2329	gene2385	FALSE
alaT	b3853	gene3932	FALSE
yqhC	b3010	gene3069	FALSE
alaV	b0203	gene201	FALSE
yoeH	b4641	gene2041	FALSE
yoeG	b4640	gene2040	FALSE
yoeF	b4538	gene2055	FALSE
yoeD	b4642	gene2054	FALSE
leuP	b4369	gene4461	FALSE
yoeB	b4539	gene2067	FALSE
yoeA	b4582	gene2042	FALSE
gtrB	b2351	gene2406	FALSE
pmrR	b4703	gene4196	FALSE
rcnR	b2105	gene2159	FALSE
prc	b1830	gene1875	FALSE
rnlA	b2630	gene2695	FALSE
rnlB	b2631	gene2696	FALSE
flhE	b1878	gene1926	FALSE
secE	b3981	gene4060	FALSE
sad	b1525	gene1558	FALSE
kefB	b3350	gene3412	FALSE
rlmN	b2517	gene2578	FALSE
rcnB	b2107	gene2161	FALSE
prs	b1207	gene1224	FALSE
yifL	b4558	gene3889	FALSE
rprA	b4431	gene1730	FALSE
renD	b0542	gene546	FALSE
adiA	b4117	gene4202	FALSE
kefF	b0046	gene45	FALSE
psaA	b4645	gene2712	FALSE
erpA	b0156	gene153	FALSE
sulA	b0958	gene972	FALSE
arcA	b4401	gene4494	FALSE
gyrB	b3699	gene3780	FALSE
hslU	b3931	gene4011	FALSE
gyrA	b2231	gene2285	FALSE
rlmA	b1822	gene1866	FALSE
waaL	b3622	gene3700	FALSE
rlmC	b0859	gene873	FALSE
sohB	b1272	gene1295	FALSE
ykgQ	b4631	gene313	FALSE
ykgP	b4630	gene308	FALSE
ykgS	b4688	gene280	FALSE
ykgR	b4671	gene307	FALSE
ykgT	b4695	gene291	FALSE
yigA	b3810	gene3891	FALSE
betT	b0314	gene325	FALSE
yfgD	b2495	gene2556	FALSE
dld	b2133	gene2187	FALSE
tfaE	b1156	gene1170	FALSE
tfaD	b0561	gene572	FALSE
yigI	b3820	gene3900	FALSE
ykgA	b0300	gene312	FALSE
ybfB	b0702	gene714	FALSE
ybfA	b0699	gene712	FALSE
ykgE	b0306	gene318	FALSE
ybfF	b0686	gene697	FALSE
ykgG	b0308	gene320	FALSE
ykgF	b0307	gene319	FALSE
ybfK	b4590	gene705	FALSE
tfaP	b1155	gene1169	FALSE
betI	b0313	gene324	FALSE
ykgJ	b0288	gene297	FALSE
ykgM	b0296	gene306	FALSE
ykgL	b0295	gene304	FALSE
ykgO	b4506	gene305	FALSE
ybfL	b0705	gene718	FALSE
grxC	b3610	gene3688	FALSE
grxB	b1064	gene1077	FALSE
grxA	b0849	gene863	FALSE
dicC	b1569	gene1606	FALSE
dicF	b1574	gene1611	FALSE
grxD	b1654	gene1693	FALSE
sgcR	b4300	gene4387	FALSE
mcrB	b4346	gene4436	FALSE
tusD	b3345	gene3406	FALSE
sgcQ	b4303	gene4391	FALSE
trmA	b3965	gene4045	FALSE
shoB	b4687	gene2627	FALSE
poxB	b0871	gene885	FALSE
elaD	b2269	gene2325	FALSE
elaA	b2267	gene2323	FALSE
elaB	b2266	gene2322	FALSE
hcaT	b2536	gene2598	FALSE
leuD	b0071	gene71	FALSE
osmB	b1283	gene1308	FALSE
leuB	b0073	gene73	FALSE
leuC	b0072	gene72	FALSE
hcaR	b2537	gene2599	FALSE
leuA	b0074	gene74	FALSE
asnV	b1989	gene2033	FALSE
leuO	b0076	gene76	FALSE
leuL	b0075	gene75	FALSE
asnU	b1986	gene2030	FALSE
tpiA	b3919	gene3999	FALSE
asnS	b0930	gene944	FALSE
hcaD	b2542	gene2605	FALSE
leuW	b0672	gene682	FALSE
hcaF	b2539	gene2602	FALSE
leuU	b3174	gene3234	FALSE
leuS	b0642	gene656	FALSE
hcaB	b2541	gene2604	FALSE
hcaC	b2540	gene2603	FALSE
osmY	b4376	gene4468	FALSE
ugpC	b3450	gene3510	FALSE
asnB	b0674	gene684	FALSE
asnC	b3743	gene3825	FALSE
leuX	b4270	gene4357	FALSE
asnA	b3744	gene3826	FALSE
eutS	b2462	gene2521	FALSE
ydbH	b1381	gene1414	FALSE
ydbJ	b4529	gene1411	FALSE
ydbL	b1383	gene1416	FALSE
fadB	b3846	gene3925	FALSE
ydbA	b4492	gene1435	FALSE
ydbC	b1406	gene1439	FALSE
yrhA	b3443	gene3503	FALSE
ydbD	b1407	gene1440	FALSE
yrhC	b4552	gene3544	FALSE
yrhB	b3446	gene3506	FALSE
basS	b4112	gene4197	FALSE
dksA	b0145	gene142	FALSE
yiiM	b3910	gene3991	FALSE
hisD	b2020	gene2071	FALSE
